ordtype;uid;is_buy;qty;price;timestamp
new;163;False;34;95.75;2019-05-23 09:06:24.230
new;164;False;7;95.75;2019-05-23 09:06:24.232
cancel;151;;63;;2019-05-23 09:06:24.253
new;165;True;34;95.15;2019-05-23 09:06:24.768
cancel;157;;340;;2019-05-23 09:06:26.212
cancel;163;;34;;2019-05-23 09:06:26.820
cancel;164;;7;;2019-05-23 09:06:26.822
new;166;True;7;95.4;2019-05-23 09:06:26.822
new;167;False;63;95.9;2019-05-23 09:06:27.037
new;168;False;229;95.75;2019-05-23 09:06:53.037
new;169;False;31;95.75;2019-05-23 09:06:53.039
new;170;False;10;95.75;2019-05-23 09:06:53.039
new;171;True;7;95.45;2019-05-23 09:07:00.343
new;172;True;6;95.35;2019-05-23 09:07:00.343
new;173;True;7;95.3;2019-05-23 09:07:00.343
new;174;True;31;95.25;2019-05-23 09:07:00.343
new;175;True;6;95.2;2019-05-23 09:07:00.343
new;176;True;15;95.15;2019-05-23 09:07:00.343
cancel;117;;57;;2019-05-23 09:07:40.325
new;177;False;57;95.8;2019-05-23 09:07:40.325
new;178;False;12;96.0;2019-05-23 09:09:00.162
cancel;160;;250;;2019-05-23 09:09:05.338
new;179;True;32;95.6;2019-05-23 09:09:05.338
cancel;170;;10;;2019-05-23 09:09:05.339
new;180;True;16;95.55;2019-05-23 09:09:05.339
cancel;169;;31;;2019-05-23 09:09:05.339
new;181;True;24;95.6;2019-05-23 09:09:05.339
cancel;181;;24;;2019-05-23 09:09:15.338
new;182;False;32;95.75;2019-05-23 09:09:15.339
cancel;182;;32;;2019-05-23 09:09:15.360
modif;67;;50;;2019-05-23 09:09:36.617
new;183;False;22;95.75;2019-05-23 09:10:05.030
new;184;False;33;95.75;2019-05-23 09:10:05.033
cancel;184;;33;;2019-05-23 09:10:14.692
cancel;177;;57;;2019-05-23 09:10:19.329
new;185;False;57;95.75;2019-05-23 09:10:19.329
cancel;180;;16;;2019-05-23 09:10:19.329
new;186;False;17;95.75;2019-05-23 09:10:19.329
new;187;True;25;95.6;2019-05-23 09:10:20.198
new;188;False;33;95.75;2019-05-23 09:10:31.013
cancel;88;;34;;2019-05-23 09:10:31.024
cancel;94;;250;;2019-05-23 09:10:31.024
new;189;False;58;95.7;2019-05-23 09:10:31.024
new;190;False;11;95.7;2019-05-23 09:10:31.024
new;191;False;250;96.0;2019-05-23 09:10:31.024
new;192;True;1121;95.3;2019-05-23 09:10:31.061
new;193;False;1026;96.05;2019-05-23 09:10:31.061
new;194;True;203;95.45;2019-05-23 09:10:31.061
cancel;186;;17;;2019-05-23 09:10:31.061
new;195;False;213;95.9;2019-05-23 09:10:31.061
new;196;True;17;95.55;2019-05-23 09:10:31.062
new;197;True;44;95.55;2019-05-23 09:10:31.062
